raw_title,price,model_id,category,source_type,transform,original_title
קנו עכשיו,897.0,1200012,מכונות קפה,zap_variant,real_variant,‏מכונת אספרסו Delonghi Dedica Arte EC885
מסך מחשב  ‏34 ‏אינטש Samsung ViewFinity S5 S34C500GAM UWQHD,1298.0,1202429,מסכי מחשב,seed,original,מסך מחשב  ‏34 ‏אינטש Samsung ViewFinity S5 S34C500GAM UWQHD
השוואה ב-18 חנויות,1298.0,1202429,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏34 ‏אינטש Samsung ViewFinity S5 S34C500GAM UWQHD
השוואת מחירים,1298.0,1202429,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏34 ‏אינטש Samsung ViewFinity S5 S34C500GAM UWQHD
"Siemens מייבש כביסה משאבת חום 9 ק""ג סימנס דגם WQ41G29IL",4590.0,1206410,מייבשי כביסה,seed,original,"Siemens מייבש כביסה משאבת חום 9 ק""ג סימנס דגם WQ41G29IL"
קנו עכשיו,4590.0,1206410,מייבשי כביסה,zap_variant,real_variant,"Siemens מייבש כביסה משאבת חום 9 ק""ג סימנס דגם WQ41G29IL"
בושם לגבר Yves Saint Laurent MYSLF E.D.P 100ml,362.0,1206928,בשמים לגבר,seed,original,בושם לגבר Yves Saint Laurent MYSLF E.D.P 100ml
השוואה ב-11 חנויות,362.0,1206928,בשמים לגבר,zap_variant,real_variant,בושם לגבר Yves Saint Laurent MYSLF E.D.P 100ml
השוואת מחירים,362.0,1206928,בשמים לגבר,zap_variant,real_variant,בושם לגבר Yves Saint Laurent MYSLF E.D.P 100ml
‏מקציף חלב Hemilton HEM-265/HEM-264,195.0,1207103,מכונות קפה,seed,original,‏מקציף חלב Hemilton HEM-265/HEM-264
השוואה ב-12 חנויות,195.0,1207103,מכונות קפה,zap_variant,real_variant,‏מקציף חלב Hemilton HEM-265/HEM-264
השוואת מחירים,195.0,1207103,מכונות קפה,zap_variant,real_variant,‏מקציף חלב Hemilton HEM-265/HEM-264
"מייבש כביסה Bosch WTH9281IL  ‏8 ‏ק""ג",2406.0,1209372,מייבשי כביסה,seed,original,"מייבש כביסה Bosch WTH9281IL  ‏8 ‏ק""ג"
השוואה ב-12 חנויות,2406.0,1209372,מייבשי כביסה,zap_variant,real_variant,"מייבש כביסה Bosch WTH9281IL  ‏8 ‏ק""ג"
השוואת מחירים,2406.0,1209372,מייבשי כביסה,zap_variant,real_variant,"מייבש כביסה Bosch WTH9281IL  ‏8 ‏ק""ג"
מסך מחשב  ‏27 ‏אינטש Lenovo ThinkVision T27hv-30 63D6UAT3IS QHD,1439.0,1210228,מסכי מחשב,seed,original,מסך מחשב  ‏27 ‏אינטש Lenovo ThinkVision T27hv-30 63D6UAT3IS QHD
השוואה ב-17 חנויות,1439.0,1210228,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏27 ‏אינטש Lenovo ThinkVision T27hv-30 63D6UAT3IS QHD
השוואת מחירים,1439.0,1210228,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏27 ‏אינטש Lenovo ThinkVision T27hv-30 63D6UAT3IS QHD
מסך מחשב  ‏27 ‏אינטש Mag G27IPS Full HD,489.0,1210232,מסכי מחשב,seed,original,מסך מחשב  ‏27 ‏אינטש Mag G27IPS Full HD
השוואה ב-18 חנויות,489.0,1210232,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏27 ‏אינטש Mag G27IPS Full HD
השוואת מחירים,489.0,1210232,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏27 ‏אינטש Mag G27IPS Full HD
"מייבש כביסה AEG ADS754P5WBM  ‏7.5 ‏ק""ג",1246.0,1210730,מייבשי כביסה,seed,original,"מייבש כביסה AEG ADS754P5WBM  ‏7.5 ‏ק""ג"
השוואה ב-22 חנויות,1246.0,1210730,מייבשי כביסה,zap_variant,real_variant,"מייבש כביסה AEG ADS754P5WBM  ‏7.5 ‏ק""ג"
השוואת מחירים,1246.0,1210730,מייבשי כביסה,zap_variant,real_variant,"מייבש כביסה AEG ADS754P5WBM  ‏7.5 ‏ק""ג"
"Sospiro Vibrato Unisex Eau De Parfum Spray 100 ml סוספירו ויברטו אדפ יוניסקס 100 מ""ל",645.0,1215489,בשמים לגבר,seed,original,"Sospiro Vibrato Unisex Eau De Parfum Spray 100 ml סוספירו ויברטו אדפ יוניסקס 100 מ""ל"
קנו עכשיו,645.0,1215489,בשמים לגבר,zap_variant,real_variant,"Sospiro Vibrato Unisex Eau De Parfum Spray 100 ml סוספירו ויברטו אדפ יוניסקס 100 מ""ל"
מסך מחשב  ‏27 ‏אינטש Samsung Odyssey G5 G55C LS27CG552EMXUE WQHD,948.0,1216847,מסכי מחשב,seed,original,מסך מחשב  ‏27 ‏אינטש Samsung Odyssey G5 G55C LS27CG552EMXUE WQHD
השוואה ב-19 חנויות,948.0,1216847,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏27 ‏אינטש Samsung Odyssey G5 G55C LS27CG552EMXUE WQHD
השוואת מחירים,948.0,1216847,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏27 ‏אינטש Samsung Odyssey G5 G55C LS27CG552EMXUE WQHD
מסך מחשב גיימינג קעור Samsung S27CG552EM 27'' QHD,948.0,1216847,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏27 ‏אינטש Samsung Odyssey G5 G55C LS27CG552EMXUE WQHD
קנו עכשיו,948.0,1216847,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏27 ‏אינטש Samsung Odyssey G5 G55C LS27CG552EMXUE WQHD
מסך מחשב  ‏32 ‏אינטש Samsung Odyssey G5 G55C LS32CG552EMXUE WQHD,1195.0,1216848,מסכי מחשב,seed,original,מסך מחשב  ‏32 ‏אינטש Samsung Odyssey G5 G55C LS32CG552EMXUE WQHD
השוואה ב-20 חנויות,1195.0,1216848,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏32 ‏אינטש Samsung Odyssey G5 G55C LS32CG552EMXUE WQHD
השוואת מחירים,1195.0,1216848,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏32 ‏אינטש Samsung Odyssey G5 G55C LS32CG552EMXUE WQHD
מסך מחשב גיימינג קעור Samsung S32CG552EM 31.5'' QHD,1195.0,1216848,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏32 ‏אינטש Samsung Odyssey G5 G55C LS32CG552EMXUE WQHD
קנו עכשיו,1195.0,1216848,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏32 ‏אינטש Samsung Odyssey G5 G55C LS32CG552EMXUE WQHD
בושם לגבר Christian Dior Sauvage Elixir E.D.P 100ml,779.0,1217017,בשמים לגבר,seed,original,בושם לגבר Christian Dior Sauvage Elixir E.D.P 100ml
השוואה ב-11 חנויות,779.0,1217017,בשמים לגבר,zap_variant,real_variant,בושם לגבר Christian Dior Sauvage Elixir E.D.P 100ml
השוואת מחירים,779.0,1217017,בשמים לגבר,zap_variant,real_variant,בושם לגבר Christian Dior Sauvage Elixir E.D.P 100ml
"‏מזגן נייד Tornado To Go 14 EU  ‏1.0 ‏כ""ס",895.0,1217086,מזגנים,seed,original,"‏מזגן נייד Tornado To Go 14 EU  ‏1.0 ‏כ""ס"
השוואה ב-24 חנויות,895.0,1217086,מזגנים,zap_variant,real_variant,"‏מזגן נייד Tornado To Go 14 EU  ‏1.0 ‏כ""ס"
השוואת מחירים,895.0,1217086,מזגנים,zap_variant,real_variant,"‏מזגן נייד Tornado To Go 14 EU  ‏1.0 ‏כ""ס"
"לה מאל אליקסיר פרפיום לגבר 125 מ""ל - ז'אן פול גוטייה - Jean Paul Gaultier - Le Male Elixir Parfum For Men 125ML",389.0,1217468,בשמים לגבר,seed,original,"לה מאל אליקסיר פרפיום לגבר 125 מ""ל - ז'אן פול גוטייה - Jean Paul Gaultier - Le Male Elixir Parfum For Men 125ML"
קנו עכשיו,389.0,1217468,בשמים לגבר,zap_variant,real_variant,"לה מאל אליקסיר פרפיום לגבר 125 מ""ל - ז'אן פול גוטייה - Jean Paul Gaultier - Le Male Elixir Parfum For Men 125ML"
‏מכונת אספרסו Smeg ECF02,1649.0,1218026,מכונות קפה,seed,original,‏מכונת אספרסו Smeg ECF02
השוואה ב-16 חנויות,1649.0,1218026,מכונות קפה,zap_variant,real_variant,‏מכונת אספרסו Smeg ECF02
השוואת מחירים,1649.0,1218026,מכונות קפה,zap_variant,real_variant,‏מכונת אספרסו Smeg ECF02
מסך מחשב  ‏27 ‏אינטש Xiaomi Gaming Monitor G27i P27FBB-RGGL Full HD,525.0,1220828,מסכי מחשב,seed,original,מסך מחשב  ‏27 ‏אינטש Xiaomi Gaming Monitor G27i P27FBB-RGGL Full HD
השוואה ב-21 חנויות,525.0,1220828,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏27 ‏אינטש Xiaomi Gaming Monitor G27i P27FBB-RGGL Full HD
השוואת מחירים,525.0,1220828,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏27 ‏אינטש Xiaomi Gaming Monitor G27i P27FBB-RGGL Full HD
מסך מחשב קעור Dell UltraSharp U3425WE 34.14 WQHD,3468.0,1221113,מסכי מחשב,seed,original,מסך מחשב קעור Dell UltraSharp U3425WE 34.14 WQHD
קנו עכשיו,3468.0,1221113,מסכי מחשב,zap_variant,real_variant,מסך מחשב קעור Dell UltraSharp U3425WE 34.14 WQHD
"מייבש כביסה Bosch WTN85203IL  ‏8 ‏ק""ג",2095.0,1221543,מייבשי כביסה,seed,original,"מייבש כביסה Bosch WTN85203IL  ‏8 ‏ק""ג"
השוואה ב-11 חנויות,2095.0,1221543,מייבשי כביסה,zap_variant,real_variant,"מייבש כביסה Bosch WTN85203IL  ‏8 ‏ק""ג"
השוואת מחירים,2095.0,1221543,מייבשי כביסה,zap_variant,real_variant,"מייבש כביסה Bosch WTN85203IL  ‏8 ‏ק""ג"
מסך מחשב  ‏24 ‏אינטש Philips 24E1N1100A 36208-240-23 Full HD,303.0,1223839,מסכי מחשב,seed,original,מסך מחשב  ‏24 ‏אינטש Philips 24E1N1100A 36208-240-23 Full HD
השוואה ב-30 חנויות,303.0,1223839,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏24 ‏אינטש Philips 24E1N1100A 36208-240-23 Full HD
השוואת מחירים,303.0,1223839,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏24 ‏אינטש Philips 24E1N1100A 36208-240-23 Full HD
"מסך מחשב 24 אינץ Full HD IPS עם 120Hz, 1ms MPRT, רמקולים מובנים והגנת עיניים Philips 24E1N1100A",303.0,1223839,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏24 ‏אינטש Philips 24E1N1100A 36208-240-23 Full HD
קנו עכשיו,303.0,1223839,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏24 ‏אינטש Philips 24E1N1100A 36208-240-23 Full HD
מסך מחשב  ‏27 ‏אינטש Philips 27E1N1100A 36208-270-27 Full HD,415.0,1223841,מסכי מחשב,seed,original,מסך מחשב  ‏27 ‏אינטש Philips 27E1N1100A 36208-270-27 Full HD
השוואה ב-24 חנויות,415.0,1223841,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏27 ‏אינטש Philips 27E1N1100A 36208-270-27 Full HD
השוואת מחירים,415.0,1223841,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏27 ‏אינטש Philips 27E1N1100A 36208-270-27 Full HD
מסך מחשב ‏27 ‏אינטש Philips 27E1N1100A Full HD פיליפס,415.0,1223841,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏27 ‏אינטש Philips 27E1N1100A 36208-270-27 Full HD
קנו עכשיו,415.0,1223841,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏27 ‏אינטש Philips 27E1N1100A 36208-270-27 Full HD
‏מכונת אספרסו Gaggia EG2109,789.0,1224100,מכונות קפה,seed,original,‏מכונת אספרסו Gaggia EG2109
השוואה ב-16 חנויות,789.0,1224100,מכונות קפה,zap_variant,real_variant,‏מכונת אספרסו Gaggia EG2109
השוואת מחירים,789.0,1224100,מכונות קפה,zap_variant,real_variant,‏מכונת אספרסו Gaggia EG2109
"‏מזגן עילי Electra Magic Touch Inverter 140  ‏1.0 ‏כ""ס",1389.0,1224524,מזגנים,seed,original,"‏מזגן עילי Electra Magic Touch Inverter 140  ‏1.0 ‏כ""ס"
השוואה ב-26 חנויות,1389.0,1224524,מזגנים,zap_variant,real_variant,"‏מזגן עילי Electra Magic Touch Inverter 140  ‏1.0 ‏כ""ס"
השוואת מחירים,1389.0,1224524,מזגנים,zap_variant,real_variant,"‏מזגן עילי Electra Magic Touch Inverter 140  ‏1.0 ‏כ""ס"
"‏מזגן עילי Electra A Inverter 170  ‏1.25 ‏כ""ס",1450.0,1224552,מזגנים,seed,original,"‏מזגן עילי Electra A Inverter 170  ‏1.25 ‏כ""ס"
השוואה ב-27 חנויות,1450.0,1224552,מזגנים,zap_variant,real_variant,"‏מזגן עילי Electra A Inverter 170  ‏1.25 ‏כ""ס"
השוואת מחירים,1450.0,1224552,מזגנים,zap_variant,real_variant,"‏מזגן עילי Electra A Inverter 170  ‏1.25 ‏כ""ס"
"‏מזגן עילי Electra A Inverter 140  ‏1.0 ‏כ""ס",1278.0,1224553,מזגנים,seed,original,"‏מזגן עילי Electra A Inverter 140  ‏1.0 ‏כ""ס"
השוואה ב-30 חנויות,1278.0,1224553,מזגנים,zap_variant,real_variant,"‏מזגן עילי Electra A Inverter 140  ‏1.0 ‏כ""ס"
השוואת מחירים,1278.0,1224553,מזגנים,zap_variant,real_variant,"‏מזגן עילי Electra A Inverter 140  ‏1.0 ‏כ""ס"
"‏מזגן עילי Electra A Inverter 340  ‏2.5 ‏כ""ס",3246.0,1224555,מזגנים,seed,original,"‏מזגן עילי Electra A Inverter 340  ‏2.5 ‏כ""ס"
השוואה ב-31 חנויות,3246.0,1224555,מזגנים,zap_variant,real_variant,"‏מזגן עילי Electra A Inverter 340  ‏2.5 ‏כ""ס"
השוואת מחירים,3246.0,1224555,מזגנים,zap_variant,real_variant,"‏מזגן עילי Electra A Inverter 340  ‏2.5 ‏כ""ס"
"‏מזגן עילי Electra A Inverter 390  ‏3.5 ‏כ""ס",4188.0,1224556,מזגנים,seed,original,"‏מזגן עילי Electra A Inverter 390  ‏3.5 ‏כ""ס"
השוואה ב-27 חנויות,4188.0,1224556,מזגנים,zap_variant,real_variant,"‏מזגן עילי Electra A Inverter 390  ‏3.5 ‏כ""ס"
השוואת מחירים,4188.0,1224556,מזגנים,zap_variant,real_variant,"‏מזגן עילי Electra A Inverter 390  ‏3.5 ‏כ""ס"
"‏מזגן עילי Electra A Inverter 450  ‏4.0 ‏כ""ס",5099.0,1224557,מזגנים,seed,original,"‏מזגן עילי Electra A Inverter 450  ‏4.0 ‏כ""ס"
השוואה ב-27 חנויות,5099.0,1224557,מזגנים,zap_variant,real_variant,"‏מזגן עילי Electra A Inverter 450  ‏4.0 ‏כ""ס"
השוואת מחירים,5099.0,1224557,מזגנים,zap_variant,real_variant,"‏מזגן עילי Electra A Inverter 450  ‏4.0 ‏כ""ס"
מסך מחשב  ‏23.8 ‏אינטש Dell P2425H Full HD,499.0,1224796,מסכי מחשב,seed,original,מסך מחשב  ‏23.8 ‏אינטש Dell P2425H Full HD
השוואה ב-20 חנויות,499.0,1224796,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏23.8 ‏אינטש Dell P2425H Full HD
השוואת מחירים,499.0,1224796,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏23.8 ‏אינטש Dell P2425H Full HD
מסך מחשב Dell P2425H 23.8 Full HD,499.0,1224796,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏23.8 ‏אינטש Dell P2425H Full HD
קנו עכשיו,499.0,1224796,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏23.8 ‏אינטש Dell P2425H Full HD
מסך מחשב ‏23.8 ‏אינטש Dell P2425H Full HD דל,499.0,1224796,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏23.8 ‏אינטש Dell P2425H Full HD
מסך מחשב Dell P2425H ‏23.8 ‏אינטש Full HD דל,499.0,1224796,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏23.8 ‏אינטש Dell P2425H Full HD
מסך מחשב Dell Pro 24 Plus Monitor - P2425H,499.0,1224796,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏23.8 ‏אינטש Dell P2425H Full HD
"מסך מחשב דל Dell 24 Monitor - P2425H, 60.5cm (23.8"")",499.0,1224796,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏23.8 ‏אינטש Dell P2425H Full HD
"מסך מחשב Dell 23.8"" P2425H FHD IPS",499.0,1224796,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏23.8 ‏אינטש Dell P2425H Full HD
מסך מחשב Dell 24Inch Monitor - P2425H,499.0,1224796,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏23.8 ‏אינטש Dell P2425H Full HD
מסך מחשב Dell P2425H FHD IPS HDMI ''24,499.0,1224796,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏23.8 ‏אינטש Dell P2425H Full HD
מסך מחשב ‏23.8 ‏אינטש Dell P2425H Full HD,499.0,1224796,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏23.8 ‏אינטש Dell P2425H Full HD
מסך מחשב DELL P2425H ‏24 ‏אינטש דל,499.0,1224796,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏23.8 ‏אינטש Dell P2425H Full HD
Dell P2425H – מסך 24 אינץ' עם חיבור USB-C,499.0,1224796,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏23.8 ‏אינטש Dell P2425H Full HD
מסך Dell 24 Monitor - P2425H,499.0,1224796,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏23.8 ‏אינטש Dell P2425H Full HD
מסך מחשב  ‏27 ‏אינטש Dell P2725H Full HD,599.0,1225071,מסכי מחשב,seed,original,מסך מחשב  ‏27 ‏אינטש Dell P2725H Full HD
השוואה ב-21 חנויות,599.0,1225071,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏27 ‏אינטש Dell P2725H Full HD
השוואת מחירים,599.0,1225071,מסכי מחשב,zap_variant,real_variant,מסך מחשב  ‏27 ‏אינטש Dell P2725H Full HD
"‏מזגן עילי Tadiran Alpha Pro Inverter 140 NG  ‏1.0 ‏כ""ס",1560.0,1225207,מזגנים,seed,original,"‏מזגן עילי Tadiran Alpha Pro Inverter 140 NG  ‏1.0 ‏כ""ס"
קנו עכשיו,1560.0,1225207,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 140 NG  ‏1.0 ‏כ""ס"
"‏מזגן עילי Tadiran Alpha Pro Inverter 140 NG  ‏1.0 ‏כ""ס",1560.0,1225207,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 140 NG  ‏1.0 ‏כ""ס"
השוואה ב-16 חנויות,1560.0,1225207,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 140 NG  ‏1.0 ‏כ""ס"
השוואת מחירים,1560.0,1225207,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 140 NG  ‏1.0 ‏כ""ס"
מזגן עילי Tadiran Alpha Pro Inverter 180 NG ‏1.25 ‏כ''ס יבואן רשמי,1998.0,1225208,מזגנים,seed,original,מזגן עילי Tadiran Alpha Pro Inverter 180 NG ‏1.25 ‏כ''ס יבואן רשמי
קנו עכשיו,1998.0,1225208,מזגנים,zap_variant,real_variant,מזגן עילי Tadiran Alpha Pro Inverter 180 NG ‏1.25 ‏כ''ס יבואן רשמי
"‏מזגן עילי Tadiran Alpha Pro Inverter 240 NG  ‏2.0 ‏כ""ס",3087.0,1225209,מזגנים,seed,original,"‏מזגן עילי Tadiran Alpha Pro Inverter 240 NG  ‏2.0 ‏כ""ס"
השוואה ב-23 חנויות,3087.0,1225209,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 240 NG  ‏2.0 ‏כ""ס"
השוואת מחירים,3087.0,1225209,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 240 NG  ‏2.0 ‏כ""ס"
"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס",4190.0,1225210,מזגנים,seed,original,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
השוואה ב-26 חנויות,4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
השוואת מחירים,4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
Tadiran מזגן עילי אינוורטר תדיראן דגם ALPHA PRO INV 340NG,4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
קנו עכשיו,4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG ‏2.5 ‏כ''ס תדיראן | אחריות יבואן רשמי,4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
מזגן עילי TADIRAN ALPHA PRO INV 340 NG,4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
מזגן עילי Tadiran Alpha Pro Inverter 340 NG ‏2.5 ‏כ''ס תדיראן,4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
"מזגן עילי TADIRAN ALPHA PRO INV 340 NG תדיראן (2.5 כ""ס)",4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
"מזגן תדיראן עילי 2.5 כ""ס Alpha Pro Inv 340 NG",4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG ‏2.5 ‏כ""ס תדיראן",4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG ‏2.5 ‏כ""ס תדיראן / יבואן רשמי / משלוח חינם",4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
‏מזגן עילי TADIRAN ALPHA PRO INVERTER 340NG,4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
"‏מזגן עילי Alpha Pro Inverter 340 NG Tadiran ‏2.5 ‏כ""ס תדיראן",4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
"מזגן עילי תדיראן 2.5 כ""ס דגם Alpha Pro Inv 340 NG",4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
"‏מזגן עילי Alpha Pro Inverter 340 NG שנת 2024 Tadiran ‏2.5 ‏כ""ס תדיראן",4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
מזגן עילי אינוורטר תדיראן דגם ALPHA PRO INV 340NG,4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
"מזגן עילי Tadiran Alpha Pro Inverter 340 NG ‏2.5 ‏כ""ס יבואן רשמי",4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
מזגן עילי TADIRAN ALPHA PRO INV 340NG 2025,4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
מזגן עילי Tadiran Alpha Pro Inverter 340 NG ‏2.5 ‏כ''ס יבואן רשמי,4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
מזגן תדיראן אלפא פרו אינוורטר דגם TADIRAN ALPHA PRO INVERTER 340NG,4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
מזגן עילי ALPHA PRO INV 340NG תדיראן Tadiran,4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
מזגן עילי TADIRAN ALPHA PRO INV 340NG,4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
מזגן עילי TADIRAN ALPHA PRO INV 340 NG 2024,4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
מזגן עילי תדיראן Tadiran Alpha Pro Inverter 340NG,4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
מזגן עילי Tadiran Alpha Pro Inverter 340NG,4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
"מזגן עילי 2.5 כ""ס תדיראן TADIRAN ALPHA PRO INVERTER 340NG לבן",4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
מזגן עילי אלפא פרו תדיראן TADIRAN ALPHA PRO INV 340NG,4190.0,1225210,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 340 NG  ‏2.5 ‏כ""ס"
"‏מזגן עילי Tadiran Alpha Pro Inverter 370 NG  ‏3.5 ‏כ""ס",5097.0,1225211,מזגנים,seed,original,"‏מזגן עילי Tadiran Alpha Pro Inverter 370 NG  ‏3.5 ‏כ""ס"
השוואה ב-21 חנויות,5097.0,1225211,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 370 NG  ‏3.5 ‏כ""ס"
השוואת מחירים,5097.0,1225211,מזגנים,zap_variant,real_variant,"‏מזגן עילי Tadiran Alpha Pro Inverter 370 NG  ‏3.5 ‏כ""ס"
"מסך מחשב  ‏27 ‏אינטש Xiaomi Monitor A27i IPS 27"" 81067 Full HD",480.0,1225416,מסכי מחשב,seed,original,"מסך מחשב  ‏27 ‏אינטש Xiaomi Monitor A27i IPS 27"" 81067 Full HD"
השוואה ב-16 חנויות,480.0,1225416,מסכי מחשב,zap_variant,real_variant,"מסך מחשב  ‏27 ‏אינטש Xiaomi Monitor A27i IPS 27"" 81067 Full HD"
